1	14.0	True	[10. 14. 10. 13.]
2	14.0	True	[ 9. 13. 14. 10.]
3	14.0	True	[13. 10. 14. 14.]
4	15.0	True	[15. 10.  8. 13.]
5	15.0	True	[15. 14. 15. 10.]
6	15.0	True	[11. 15. 13. 14.]
7	15.0	True	[13.  8. 15. 14.]
8	15.0	False	[11. 14. 13. 13.]
9	15.0	True	[10. 13. 15. 13.]
10	15.0	True	[15.  9.  8.  9.]
11	15.0	True	[15. 15. 10.  9.]
12	15.0	True	[10. 11. 11. 15.]
13	15.0	False	[ 9.  9. 10. 14.]
14	15.0	False	[12. 13. 10. 13.]
15	15.0	True	[14. 15. 14. 13.]
16	15.0	False	[10. 10. 14.  8.]
17	16.0	True	[14. 10. 15. 16.]
18	16.0	False	[14.  9. 13. 13.]
19	16.0	False	[ 9. 14. 11.  9.]
20	16.0	False	[ 8. 10. 10. 15.]
21	16.0	False	[10. 13. 14. 10.]
22	16.0	False	[15.  9. 13. 13.]
23	16.0	False	[14. 10. 13. 14.]
24	16.0	False	[14. 10. 11. 10.]
25	16.0	False	[12. 10. 15.  9.]
26	16.0	False	[ 9. 10. 10.  9.]
27	16.0	False	[10. 14. 15. 14.]
28	16.0	False	[ 9. 10. 13. 15.]
29	16.0	False	[ 9.  9.  9. 13.]
30	16.0	False	[ 9. 12.  8.  9.]
31	16.0	False	[15. 13. 15.  9.]
32	16.0	False	[10. 14. 15. 10.]
33	16.0	False	[ 8. 15. 10. 14.]
34	16.0	False	[10. 10. 10. 15.]
35	16.0	False	[11. 15.  9. 12.]
36	16.0	False	[10. 13.  9. 14.]
37	16.0	False	[ 8. 15. 14.  9.]
38	16.0	False	[14. 10. 13. 15.]
39	16.0	False	[14.  9. 10. 13.]
40	16.0	False	[ 9. 10. 15. 10.]
41	16.0	False	[ 9. 14. 13.  9.]
42	16.0	False	[14. 15. 15. 15.]
43	16.0	False	[13. 10.  9. 13.]
44	16.0	False	[13.  9. 14.  9.]
45	16.0	False	[15. 14.  8. 11.]
46	16.0	False	[15. 10. 15. 14.]
47	16.0	False	[14. 13.  9. 10.]
48	16.0	False	[14.  9.  8. 15.]
49	16.0	False	[13.  9. 14. 14.]
50	16.0	False	[ 9. 10.  9.  9.]
51	16.0	False	[14. 12.  9.  9.]
52	16.0	False	[ 9. 14. 14. 13.]
53	16.0	False	[ 9. 13. 14.  9.]
54	16.0	False	[10. 15. 10. 10.]
55	16.0	False	[11. 15. 15. 13.]
56	16.0	False	[14. 14. 13.  9.]
57	16.0	False	[14. 12. 14. 10.]
58	16.0	False	[10.  9.  9.  9.]
59	16.0	False	[10. 10.  9. 14.]
60	16.0	False	[14. 13. 14. 15.]
61	16.0	False	[ 9. 11.  9. 10.]
62	16.0	False	[10.  8.  9.  9.]
63	16.0	False	[15. 10.  9. 13.]
64	16.0	False	[14. 10. 15. 13.]
65	16.0	False	[10. 14. 10. 15.]
66	16.0	False	[13.  8.  8.  9.]
67	16.0	False	[13.  9. 15.  9.]
68	16.0	False	[ 9. 10. 13. 13.]
69	16.0	False	[15. 14. 13. 10.]
70	16.0	False	[15. 10. 15. 12.]
71	16.0	False	[ 9. 10.  9. 15.]
72	16.0	False	[ 9.  9. 13. 14.]
73	16.0	False	[14.  9.  9. 10.]
74	16.0	False	[15. 10. 13. 15.]
75	16.0	False	[10. 10.  9. 14.]
76	16.0	False	[10. 13. 10. 14.]
77	16.0	False	[13.  8. 15. 10.]
78	16.0	False	[14.  8. 15. 13.]
79	16.0	False	[10. 15. 13. 11.]
80	18.0	True	[10. 18.  8. 15.]
81	18.0	False	[10. 10.  8. 10.]
82	18.0	False	[10.  9. 13. 10.]
83	18.0	True	[15.  9. 17. 18.]
84	18.0	False	[17.  9.  9. 10.]
85	21.0	True	[15. 21. 15. 10.]
86	21.0	False	[10. 10. 17. 12.]
87	21.0	False	[10. 15. 10. 13.]
88	21.0	False	[ 8. 13. 10.  8.]
89	21.0	False	[15.  9. 14. 15.]
90	21.0	False	[ 9. 17. 10. 18.]
91	24.0	True	[20. 24.  9. 10.]
92	25.0	True	[15.  8. 25. 13.]
93	31.0	True	[28. 31. 14.  9.]
94	31.0	False	[13. 27.  9.  8.]
95	31.0	False	[10. 19. 21.  9.]
96	31.0	False	[ 9. 10. 10.  8.]
97	31.0	False	[17. 13.  9.  9.]
98	31.0	False	[16. 14. 13. 10.]
99	31.0	False	[12.  9.  9. 10.]
100	31.0	False	[10.  9. 22.  8.]
101	31.0	False	[25. 14. 14. 23.]
102	31.0	False	[10. 15. 10. 15.]
103	31.0	False	[ 9.  9. 10. 14.]
104	31.0	False	[13.  9. 10. 16.]
105	31.0	False	[10. 17. 14. 14.]
106	31.0	False	[11. 10. 10. 13.]
107	31.0	False	[ 9. 10. 10. 10.]
108	31.0	False	[ 9.  9. 17. 14.]
109	31.0	False	[15.  8. 13.  9.]
110	31.0	False	[ 8.  8. 10.  9.]
111	31.0	False	[15. 17. 13.  9.]
112	31.0	False	[10. 13. 10.  9.]
113	31.0	False	[ 9. 15. 14. 10.]
114	31.0	False	[10. 10. 14. 16.]
115	31.0	False	[14. 17. 14.  9.]
116	31.0	True	[20. 31. 10. 14.]
117	31.0	False	[10. 14. 10.  9.]
118	31.0	False	[15.  8. 10. 28.]
119	31.0	False	[12. 14. 10.  9.]
120	31.0	False	[ 9. 10.  8. 14.]
121	31.0	False	[23. 14.  9.  9.]
122	31.0	False	[10.  9. 10.  9.]
123	31.0	False	[15. 15.  9. 11.]
124	31.0	False	[15. 10. 13.  8.]
125	31.0	False	[25. 20. 10. 15.]
126	31.0	False	[10. 14. 17.  9.]
127	31.0	False	[15. 14. 10. 10.]
128	40.0	True	[ 9.  8. 17. 40.]
129	50.0	True	[47. 33. 50. 36.]
130	56.0	True	[10. 56. 10. 35.]
131	56.0	False	[54. 52. 25. 38.]
132	56.0	False	[48. 10.  9.  9.]
133	56.0	False	[11.  9. 50. 34.]
134	56.0	False	[52. 50. 50. 10.]
135	56.0	False	[ 9. 25.  9.  9.]
136	57.0	True	[56. 39. 57. 39.]
137	57.0	False	[37. 11. 45. 10.]
138	57.0	False	[40. 34.  9. 46.]
139	57.0	False	[48. 52.  8. 31.]
140	57.0	False	[10. 47. 52. 25.]
141	60.0	True	[60. 25. 37. 40.]
142	60.0	True	[10. 51.  9. 60.]
143	60.0	False	[10.  8. 34. 46.]
144	60.0	False	[40. 38. 55. 42.]
145	60.0	False	[34. 10. 35. 10.]
146	60.0	False	[56. 21.  9. 49.]
147	60.0	False	[40.  9. 39. 46.]
148	60.0	False	[ 9. 26. 44. 47.]
149	60.0	False	[26.  9. 41.  9.]
150	64.0	True	[50. 40. 64.  9.]
151	64.0	False	[ 8.  8. 57. 25.]
152	64.0	False	[45. 50. 41. 35.]
153	64.0	False	[44. 36. 35. 26.]
154	64.0	False	[37. 49. 10. 39.]
155	64.0	False	[46. 11. 46. 41.]
156	64.0	False	[25.  9. 51. 40.]
157	64.0	False	[10. 10. 25. 38.]
158	64.0	False	[ 9. 38. 36. 10.]
159	64.0	False	[45. 35.  9. 40.]
160	64.0	False	[26. 10. 51. 40.]
161	64.0	False	[10.  8. 40. 52.]
